ID,HOUSE_NUMBER,PRE_DIR,STREET_NAME,STREET_TYPE,FULL_ADDRESS_RANGE,BUILDING_NAME1,BUILDING_NAME2,MONTH_VIEW,TOTAL_ROOF_SQFT,VEGETATED_SQFT,FACT_SHEET,LATITUDE,LONGITUDE,LOCATION
186,33,W,ONTARIO,ST,33-33 W ONTARIO ST,MILLENIUM CENTRE, ,August 2010,36792,5436,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_186.pdf,41.89292365,-87.62917603,"(41.89292365, -87.62917603)"
283,460,E,OHIO,ST,460-460 E OHIO ST, , ,August 2010,46223,7707,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_283.pdf,41.89309558,-87.61528349,"(41.89309558, -87.61528349)"
146,600,N,FAIRBANKS,CT,600-600 N FAIRBANKS CT,600 NORTH FAIRBANKS, ,August 2010,31860,4479,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_146.pdf,41.89309882,-87.62064955,"(41.89309882, -87.62064955)"
185,1,E,ERIE,ST,1-1 E ERIE ST,WINDSOR AT ONTARIO PLACE,BUKARA RESTAURANT AND WHITE HEN PA,August 2010,43714,14433,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_185.pdf,41.8936171,-87.62725118,"(41.89361710, -87.62725118)"
147,300,E,ONTARIO,ST,300-330 E ONTARIO ST, , ,August 2010,32581,3133,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_147.pdf,41.89384615,-87.61982136,"(41.89384615, -87.61982136)"
297,444,E,ONTARIO,ST,444-448 E ONTARIO ST, ONTERIE CENTER, ,August 2010,37741,1431,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_297.pdf,41.8938552,-87.61644131,"(41.89385520, -87.61644131)"
148,321,E,ERIE,ST,321-321 E ERIE ST,NORTHWESTERN UNIVERSITY PARKING, ,August 2010,89584,416,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_148.pdf,41.89386987,-87.61924223,"(41.89386987, -87.61924223)"
281,222,W,ERIE,ST,222-222 W ERIE ST, , ,August 2010,22038,12730,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_281.pdf,41.89430454,-87.63510729,"(41.89430454, -87.63510729)"
164,679,N,KINGSBURY,ST,679-679 N KINGSBURY ST, , ,August 2010,21486,4571,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_164.pdf,41.89435605,-87.64089522,"(41.89435605, -87.64089522)"
006,677,N,MICHIGAN,AVE,677-679 N MICHIGAN AVE, , ,August 2010,7733,2684,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_006.pdf,41.8948142,-87.62378911,"(41.89481420, -87.62378911)"
